title,imageURL,genre, favorited, rating, wishlisted, cost
Assassin's Creed: Black Flag,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Assassin%27s_Creed_IV_-_Black_Flag_cover.jpg/250px-Assassin%27s_Creed_IV_-_Black_Flag_cover.jpg, Adventure | Fighting | Stealth, false, Rating: N/A, false, Cost: $40
Batman: Arkham City, https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Batman_Arkham_City_Game_Cover.jpg/250px-Batman_Arkham_City_Game_Cover.jpg, Action |Adventure | Stealth, false, Rating: N/A, false, Cost: $20
The Binding of Isaac Rebirth,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/The_Binding_of_Issac_Rebirth_cover.jpg/250px-The_Binding_of_Issac_Rebirth_cover.jpg, Action | Roguelike | Shooter, false, Rating: N/A, false, Cost: $15
Bioshock, https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/BioShock_cover.jpg/220px-BioShock_cover.jpg, RPG | Shooter | Survival, false, Rating: N/A, false, Cost: $20
Bloodborne, https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Bloodborne_Cover_Wallpaper.jpg/250px-Bloodborne_Cover_Wallpaper.jpg, Action | RPG | Survival, false, Rating: N/A, false, Cost: $20
Borderlands 2, https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Borderlands_2_cover_art.png/250px-Borderlands_2_cover_art.png, Adventure | RPG | Shooter, false, Rating: N/A, false, Cost: $20
Call of Duty: Black Ops 2, https://upload.wikimedia.org/wikipedia/en/0/05/Call_of_Duty_Black_Ops_II_box_artwork.png, Action | Fighting | Shooter, false, Rating: N/A, false, Cost: $60
Castlevania: Symphony of the Night, https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Castlevania_SOTN_PAL.jpg/220px-Castlevania_SOTN_PAL.jpg, Fighting | Metroidvania | RPG, false, Rating: N/A, false, Cost: $10
Chrono Trigger, https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Chrono_Trigger.jpg/220px-Chrono_Trigger.jpg, Action | Adventure | RPG, false, Rating: N/A, false, Cost: $15
Cyberpunk 2077, https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Cyberpunk_2077_box_art.jpg/250px-Cyberpunk_2077_box_art.jpg, Action | RPG | Shooter, false, Rating: N/A, false, Cost: $60
Dark Souls, https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Dark_Souls_Cover_Art.jpg/250px-Dark_Souls_Cover_Art.jpg, Action | RPG | Soulslike, false, Rating: N/A, false, Cost: $40
Diablo 2, https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Diablo_II_Coverart.png/250px-Diablo_II_Coverart.png, Action | RPG | Strategy, false, Rating: N/A, false, Cost: $10
Disco Elysium, https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Disco_Elysium_Poster.jpeg/250px-Disco_Elysium_Poster.jpeg, Action | Adventure | RPG, false, Rating: N/A, false, Cost: $40
Dishonored, https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Dishonored_box_art_Bethesda.jpg/250px-Dishonored_box_art_Bethesda.jpg, RPG | Shooter | Stealth, false, Rating: N/A, false, Cost: $10
Dragon Age: Origins, https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Dragon_Age_Origins_cover.png/250px-Dragon_Age_Origins_cover.png, Action | Adventure | RPG, false, Rating: N/A, false, Cost: $40
Elden Ring, https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Elden_Ring_Box_art.jpg/250px-Elden_Ring_Box_art.jpg, Action | Fighting | Soulslike, false, Rating: N/A, false, Cost: $60
